Model,Accuracy,Precision,Recall,F1 Score,AUC,Train Time (s)
Random Forest (Tuned),0.9982099475770362,0.998583903705452,0.9981127624439726,0.9983482774893818,0.9999562700398799,
Random Forest,0.9980820866896817,0.9983482774893818,0.9981127624439726,0.9982305060752624,0.9999479060264232,8.27
Gradient Boosting,0.9979542258023271,0.9983478876563606,0.9978768577494692,0.998112317130722,0.9999606496217293,24.24
SVM (Linear),0.9959084516046541,0.9955241460541814,0.9969332389714556,0.9962281942479962,0.9997226045300814,0.87
Logistic Regression (Before SVD),0.983505945531262,0.9763560500695411,0.9936305732484076,0.9849175727814802,0.9978817312691212,0.64
Logistic Regression (After SVD),0.9824830584324256,0.9747685185185185,0.9933946685539042,0.9839934571795771,0.9976018331810029,0.45
